#separator:tab
#html:true
"<div class=afirmação>No coração a via&nbsp;<span class=""cloze"" data-cloze=""mais&#x20;r&#xE1;pida"" data-ordinal=""1"">[...]</span> comanda <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> No coração a via&nbsp;<span class=""cloze"" data-ordinal=""1"">mais rápida</span> comanda </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação><span class=""cloze"" data-cloze=""Fibrila&#xE7;&#xE3;o&#x20;Ventricular"" data-ordinal=""2"">[...]</span>&nbsp;- Como é o ECG?<div><br></div><div><span class=""cloze-inactive"" data-ordinal=""1"">Sem QRS<br>Anárquico</span></div> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> <span class=""cloze"" data-ordinal=""2"">Fibrilação Ventricular</span>&nbsp;- Como é o ECG?<div><br></div><div><span class=""cloze-inactive"" data-ordinal=""1"">Sem QRS<br>Anárquico</span></div> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação><span class=""cloze-inactive"" data-ordinal=""2"">Fibrilação Ventricular</span> - Frequência ventricular&nbsp;<span class=""cloze"" data-cloze=""400&#x2D;600&#x20;bpm&amp;nbsp&#x3B;"" data-ordinal=""1"">[...]</span> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> <span class=""cloze-inactive"" data-ordinal=""2"">Fibrilação Ventricular</span> - Frequência ventricular&nbsp;<span class=""cloze"" data-ordinal=""1"">400-600 bpm&nbsp;</span> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação><span class=""cloze"" data-cloze=""Fibrila&#xE7;&#xE3;o&#x20;Ventricular"" data-ordinal=""1"">[...]</span> - Principal mecanismo de PCR em adultos <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> <span class=""cloze"" data-ordinal=""1"">Fibrilação Ventricular</span> - Principal mecanismo de PCR em adultos </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>Ventriculo fibrilando será um ventriculo <span class=""cloze"" data-cloze=""infartando"" data-ordinal=""1"">[...]</span> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Ventriculo fibrilando será um ventriculo <span class=""cloze"" data-ordinal=""1"">infartando</span> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>Fibrilação Ventricular - Abordagem<div><br /></div><div><span class=""cloze"" data-cloze=""RCP&#x20;&#x2B;&#x20;Choque&#x20;el&#xE9;trico"" data-ordinal=""1"">[...]</span></div> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Fibrilação Ventricular - Abordagem<div><br /></div><div><span class=""cloze"" data-ordinal=""1"">RCP + Choque elétrico</span></div> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação><span class=""cloze-inactive"" data-ordinal=""2"">Fibrilação Atrial</span>&nbsp;- Como é o ECG?<div><br></div><div><span class=""cloze"" data-cloze=""Sem&#x20;onda&#x20;P&lt;br&gt;QRS&#x20;estreito&lt;br&gt;R&#x2D;R&#x20;Irregular"" data-ordinal=""1"">[...]</span></div> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> <span class=""cloze-inactive"" data-ordinal=""2"">Fibrilação Atrial</span>&nbsp;- Como é o ECG?<div><br></div><div><span class=""cloze"" data-ordinal=""1"">Sem onda P<br>QRS estreito<br>R-R Irregular</span></div> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação><span class=""cloze"" data-cloze=""Fibrila&#xE7;&#xE3;o&#x20;Atrial"" data-ordinal=""2"">[...]</span>&nbsp;- Como é o ECG?<div><br></div><div><span class=""cloze-inactive"" data-ordinal=""1"">Sem onda P<br>QRS estreito<br>R-R Irregular</span></div> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> <span class=""cloze"" data-ordinal=""2"">Fibrilação Atrial</span>&nbsp;- Como é o ECG?<div><br></div><div><span class=""cloze-inactive"" data-ordinal=""1"">Sem onda P<br>QRS estreito<br>R-R Irregular</span></div> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>Fibrilação Atrial - Risco de&nbsp;<span class=""cloze"" data-cloze=""embolia"" data-ordinal=""1"">[...]</span> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Fibrilação Atrial - Risco de&nbsp;<span class=""cloze"" data-ordinal=""1"">embolia</span> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação><span class=""cloze-inactive"" data-ordinal=""2"">Taquicardia Supraventricular</span> - Dois mecanismos<div><br></div><div><span class=""cloze"" data-cloze=""Reentrada&#x20;Nodal&lt;br&gt;Via&#x20;Acess&#xF3;ria"" data-ordinal=""1"">[...]</span></div> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> <span class=""cloze-inactive"" data-ordinal=""2"">Taquicardia Supraventricular</span> - Dois mecanismos<div><br></div><div><span class=""cloze"" data-ordinal=""1"">Reentrada Nodal<br>Via Acessória</span></div> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação><span class=""cloze"" data-cloze=""Taquicardia&#x20;Supraventricular"" data-ordinal=""2"">[...]</span> - Dois mecanismos<div><br></div><div><span class=""cloze-inactive"" data-ordinal=""1"">Reentrada Nodal<br>Via Acessória</span></div> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> <span class=""cloze"" data-ordinal=""2"">Taquicardia Supraventricular</span> - Dois mecanismos<div><br></div><div><span class=""cloze-inactive"" data-ordinal=""1"">Reentrada Nodal<br>Via Acessória</span></div> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>Taquicardia Supraventricular - Paciente geralmente é&nbsp;<span class=""cloze"" data-cloze=""mulher&#x20;jovem&#x20;sadia"" data-ordinal=""1"">[...]</span> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Taquicardia Supraventricular - Paciente geralmente é&nbsp;<span class=""cloze"" data-ordinal=""1"">mulher jovem sadia</span> </div>



<div class=""esquema"">
<a class=hint href=""#""
onclick=""this.style.display='none';
document.getElementById('hint1913c2cd364edf71').style.display='block';
return false;"">
✚ Saiba mais</a>
<div id=""hint1913c2cd364edf71"" class=hint style=""display: none""><div><span style=""vertical-align: super;"">Taquicardia da Carolina</span></div> </div>
</div></div>

</div><br>

<div class=direito>"
"<div class=afirmação>Taquicardia Supraventricular - Reentrada Nodal<div>Predisposição:&nbsp;<span class=""cloze"" data-cloze=""Presen&#xE7;a&#x20;de&#x20;segunda&#x20;via&#x20;nodal&#x20;&#x28;Alfa&#x20;e&#x20;Beta&#x29;"" data-ordinal=""1"">[...]</span></div> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Taquicardia Supraventricular - Reentrada Nodal<div>Predisposição:&nbsp;<span class=""cloze"" data-ordinal=""1"">Presença de segunda via nodal (Alfa e Beta)</span></div> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>Taquicardia Supraventricular - Reentrada Nodal - VIAS<div><br></div><div><span class=""cloze-inactive"" data-ordinal=""2"">Beta</span>: Conduz mais&nbsp;<span class=""cloze"" data-cloze=""rapidamente"" data-ordinal=""1"">[...]</span></div><div>&nbsp;período refratário&nbsp;<span class=""cloze"" data-cloze=""maior"" data-ordinal=""1"">[...]</span></div><div><br></div><div><span class=""cloze-inactive"" data-ordinal=""2"">Alfa</span>: Conduz mais&nbsp;<span class=""cloze"" data-cloze=""lentamente"" data-ordinal=""1"">[...]</span>&nbsp;</div><div>período refratário&nbsp;<span class=""cloze"" data-cloze=""curto"" data-ordinal=""1"">[...]</span></div> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Taquicardia Supraventricular - Reentrada Nodal - VIAS<div><br></div><div><span class=""cloze-inactive"" data-ordinal=""2"">Beta</span>: Conduz mais&nbsp;<span class=""cloze"" data-ordinal=""1"">rapidamente</span></div><div>&nbsp;período refratário&nbsp;<span class=""cloze"" data-ordinal=""1"">maior</span></div><div><br></div><div><span class=""cloze-inactive"" data-ordinal=""2"">Alfa</span>: Conduz mais&nbsp;<span class=""cloze"" data-ordinal=""1"">lentamente</span>&nbsp;</div><div>período refratário&nbsp;<span class=""cloze"" data-ordinal=""1"">curto</span></div> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>Taquicardia Supraventricular - Reentrada Nodal - VIAS<div><br></div><div><span class=""cloze"" data-cloze=""Beta"" data-ordinal=""2"">[...]</span>: Conduz mais&nbsp;<span class=""cloze-inactive"" data-ordinal=""1"">rapidamente</span></div><div>&nbsp;período refratário&nbsp;<span class=""cloze-inactive"" data-ordinal=""1"">maior</span></div><div><br></div><div><span class=""cloze"" data-cloze=""Alfa"" data-ordinal=""2"">[...]</span>: Conduz mais&nbsp;<span class=""cloze-inactive"" data-ordinal=""1"">lentamente</span>&nbsp;</div><div>período refratário&nbsp;<span class=""cloze-inactive"" data-ordinal=""1"">curto</span></div> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Taquicardia Supraventricular - Reentrada Nodal - VIAS<div><br></div><div><span class=""cloze"" data-ordinal=""2"">Beta</span>: Conduz mais&nbsp;<span class=""cloze-inactive"" data-ordinal=""1"">rapidamente</span></div><div>&nbsp;período refratário&nbsp;<span class=""cloze-inactive"" data-ordinal=""1"">maior</span></div><div><br></div><div><span class=""cloze"" data-ordinal=""2"">Alfa</span>: Conduz mais&nbsp;<span class=""cloze-inactive"" data-ordinal=""1"">lentamente</span>&nbsp;</div><div>período refratário&nbsp;<span class=""cloze-inactive"" data-ordinal=""1"">curto</span></div> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação><span class=""cloze"" data-cloze=""Taquicardia&#x20;Supraventricular"" data-ordinal=""1"">[...]</span> - Clínica: Palpitação súbita que dura apenas alguns segundos <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> <span class=""cloze"" data-ordinal=""1"">Taquicardia Supraventricular</span> - Clínica: Palpitação súbita que dura apenas alguns segundos </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>Taquicardia Supraventricular - Via Acessória<div>Predisposição:&nbsp;<span class=""cloze"" data-cloze=""Presen&#xE7;a&#x20;de&#x20;via&#x20;acess&#xF3;ria"" data-ordinal=""1"">[...]</span></div> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Taquicardia Supraventricular - Via Acessória<div>Predisposição:&nbsp;<span class=""cloze"" data-ordinal=""1"">Presença de via acessória</span></div> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação><span class=""cloze-inactive"" data-ordinal=""2"">Padrão Pré-excitação</span>&nbsp;- Como é o ECG?<div><br /></div><div><span class=""cloze"" data-cloze=""Intervalo&#x20;PR&#x20;curto&#x20;&#x2B;&#x20;Onda&#x20;Delta"" data-ordinal=""1"">[...]</span></div> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> <span class=""cloze-inactive"" data-ordinal=""2"">Padrão Pré-excitação</span>&nbsp;- Como é o ECG?<div><br /></div><div><span class=""cloze"" data-ordinal=""1"">Intervalo PR curto + Onda Delta</span></div> </div>



<div class=""esquema"">
<a class=hint href=""#""
onclick=""this.style.display='none';
document.getElementById('hint371ef037c2ac0f2d').style.display='block';
return false;"">
✚ Saiba mais</a>
<div id=""hint371ef037c2ac0f2d"" class=hint style=""display: none""><div>Onda P perto do QRS<br></div><div>Corcova no QRS</div> </div>
</div></div>

</div><br>

<div class=direito>"
"<div class=afirmação><span class=""cloze"" data-cloze=""Padr&#xE3;o&#x20;Pr&#xE9;&#x2D;excita&#xE7;&#xE3;o"" data-ordinal=""2"">[...]</span>&nbsp;- Como é o ECG?<div><br /></div><div><span class=""cloze-inactive"" data-ordinal=""1"">Intervalo PR curto + Onda Delta</span></div> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> <span class=""cloze"" data-ordinal=""2"">Padrão Pré-excitação</span>&nbsp;- Como é o ECG?<div><br /></div><div><span class=""cloze-inactive"" data-ordinal=""1"">Intervalo PR curto + Onda Delta</span></div> </div>



<div class=""esquema"">
<a class=hint href=""#""
onclick=""this.style.display='none';
document.getElementById('hint371ef037c2ac0f2d').style.display='block';
return false;"">
✚ Saiba mais</a>
<div id=""hint371ef037c2ac0f2d"" class=hint style=""display: none""><div>Onda P perto do QRS<br></div><div>Corcova no QRS</div> </div>
</div></div>

</div><br>

<div class=direito>"
"<div class=afirmação><div><span class=""cloze-inactive"" data-ordinal=""2"">Síndrome de Wolff-Parkinson-White</span> - Características do ECG</div><div><br></div><span class=""cloze"" data-cloze=""Padr&#xE3;o&#x20;de&#x20;Excita&#xE7;&#xE3;o&#x20;em&#x20;ritmo&#x20;sinusal&#x20;&#x2B;&#x20;Taquicardia&#x20;parox&#xED;stica&#x20;de&#x20;repeti&#xE7;&#xE3;o"" data-ordinal=""1"">[...]</span> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> <div><span class=""cloze-inactive"" data-ordinal=""2"">Síndrome de Wolff-Parkinson-White</span> - Características do ECG</div><div><br></div><span class=""cloze"" data-ordinal=""1"">Padrão de Excitação em ritmo sinusal + Taquicardia paroxística de repetição</span> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação><div><span class=""cloze"" data-cloze=""S&#xED;ndrome&#x20;de&#x20;Wolff&#x2D;Parkinson&#x2D;White"" data-ordinal=""2"">[...]</span> - Características do ECG</div><div><br></div><span class=""cloze-inactive"" data-ordinal=""1"">Padrão de Excitação em ritmo sinusal + Taquicardia paroxística de repetição</span> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> <div><span class=""cloze"" data-ordinal=""2"">Síndrome de Wolff-Parkinson-White</span> - Características do ECG</div><div><br></div><span class=""cloze-inactive"" data-ordinal=""1"">Padrão de Excitação em ritmo sinusal + Taquicardia paroxística de repetição</span> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>Taquiarritmia em idoso com IAM geralmente é&nbsp;<span class=""cloze"" data-cloze=""TV"" data-ordinal=""1"">[...]</span> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Taquiarritmia em idoso com IAM geralmente é&nbsp;<span class=""cloze"" data-ordinal=""1"">TV</span> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>Taquicardia com RR irregular sem Onda P =&nbsp;<span class=""cloze"" data-cloze=""Fibrila&#xE7;&#xE3;o&#x20;Atrial"" data-ordinal=""1"">[...]</span> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Taquicardia com RR irregular sem Onda P =&nbsp;<span class=""cloze"" data-ordinal=""1"">Fibrilação Atrial</span> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>TV Monomórfica Sustentada <i>Instável - </i>Conduta: <span class=""cloze"" data-cloze=""Cardiovers&#xE3;o&#x20;El&#xE9;trica"" data-ordinal=""1"">[...]</span> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> TV Monomórfica Sustentada <i>Instável - </i>Conduta: <span class=""cloze"" data-ordinal=""1"">Cardioversão Elétrica</span> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>TV Monomórfica Sustentada&nbsp;<i>Estável</i><i>&nbsp;-&nbsp;</i>Conduta: <span class=""cloze"" data-cloze=""Amiodarona&#x20;&#x2F;&#x20;Procainamida"" data-ordinal=""1"">[...]</span> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> TV Monomórfica Sustentada&nbsp;<i>Estável</i><i>&nbsp;-&nbsp;</i>Conduta: <span class=""cloze"" data-ordinal=""1"">Amiodarona / Procainamida</span> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>TV Monomórfica Sustentada<i>&nbsp;-&nbsp;Tratamento&nbsp;<u>pós-emergência</u>: </i><span class=""cloze"" data-cloze=""Se&#x20;causa&#x20;n&#xE3;o&#x20;revers&#xED;vel&#x3A;&#x20;&lt;b&gt;B&lt;u&gt;B&#x20;&#x2B;&#x20;Cardiodesfibrilador&#x20;implant&#xE1;vel&lt;&#x2F;u&gt;&lt;&#x2F;b&gt;"" data-ordinal=""1"">[...]</span> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> TV Monomórfica Sustentada<i>&nbsp;-&nbsp;Tratamento&nbsp;<u>pós-emergência</u>: </i><span class=""cloze"" data-ordinal=""1"">Se causa não reversível: <b>B<u>B + Cardiodesfibrilador implantável</u></b></span> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>Flutter Atrial&nbsp;<i>Instável -&nbsp;</i>Conduta: <span class=""cloze"" data-cloze=""Cardiovers&#xE3;o&#x20;El&#xE9;trica"" data-ordinal=""1"">[...]</span> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Flutter Atrial&nbsp;<i>Instável -&nbsp;</i>Conduta: <span class=""cloze"" data-ordinal=""1"">Cardioversão Elétrica</span> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>Flutter Atrial&nbsp;<i>Estável -&nbsp;</i>Conduta: <span class=""cloze"" data-cloze=""Cardiovers&#xE3;o&#x20;El&#xE9;trica&#x20;&#x28;50J&#x29;&amp;nbsp&#x3B;&lt;u&gt;ou&lt;&#x2F;u&gt;&amp;nbsp&#x3B;Ibutilida&#x2F;Amiodarona"" data-ordinal=""1"">[...]</span> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Flutter Atrial&nbsp;<i>Estável -&nbsp;</i>Conduta: <span class=""cloze"" data-ordinal=""1"">Cardioversão Elétrica (50J)&nbsp;<u>ou</u>&nbsp;Ibutilida/Amiodarona</span> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>Flutter Atrial <i><u>Crônico/de&nbsp;Repetição</u>&nbsp;-&nbsp;</i>Conduta:&nbsp;<div><br></div><div><span class=""cloze"" data-cloze=""Abla&#xE7;&#xE3;o&lt;br&gt;Anticoagula&#xE7;&#xE3;o"" data-ordinal=""1"">[...]</span></div> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Flutter Atrial <i><u>Crônico/de&nbsp;Repetição</u>&nbsp;-&nbsp;</i>Conduta:&nbsp;<div><br></div><div><span class=""cloze"" data-ordinal=""1"">Ablação<br>Anticoagulação</span></div> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>Fibrilação Atrial&nbsp;<i>Estável -&nbsp;</i>Conduta<div><br /></div><div><span class=""cloze"" data-cloze=""Reduz&#x20;FC&#x20;&#x2B;&#x20;Anticoagula&#xE7;&#xE3;o&lt;div&gt;Controle&#x20;do&#x20;Ritmo&#x20;quando&#x20;refrat&#xE1;rios&amp;nbsp&#x3B;"" data-ordinal=""1"">[...]</span></div></div> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Fibrilação Atrial&nbsp;<i>Estável -&nbsp;</i>Conduta<div><br /></div><div><span class=""cloze"" data-ordinal=""1"">Reduz FC + Anticoagulação<div>Controle do Ritmo quando refratários&nbsp;</span></div></div> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>Fibrilação Atrial<i>&nbsp;-&nbsp;</i>Regras na cardioversão<div><br /></div><div><span class=""cloze"" data-cloze=""Instala&#xE7;&#xE3;o&amp;nbsp&#x3B;&amp;lt&#x3B;48h&#x20;&#x3D;&#x20;Cardioverte&lt;br&#x20;&#x2F;&gt;&lt;br&#x20;&#x2F;&gt;Instala&#xE7;&#xE3;o&#x20;&amp;gt&#x3B;48h&#x20;&#x3D;&#x20;ECO&lt;br&#x20;&#x2F;&gt;Se&#x20;tiver&#x20;trombo&#x2C;&#x20;Warfarin&#x20;3&#x2D;4s&lt;br&#x20;&#x2F;&gt;Sem&#x20;trombo&#x2C;&#x20;cardioverte"" data-ordinal=""1"">[...]</span></div> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Fibrilação Atrial<i>&nbsp;-&nbsp;</i>Regras na cardioversão<div><br /></div><div><span class=""cloze"" data-ordinal=""1"">Instalação&nbsp;&lt;48h = Cardioverte<br /><br />Instalação &gt;48h = ECO<br />Se tiver trombo, Warfarin 3-4s<br />Sem trombo, cardioverte</span></div> </div>



<div class=""esquema"">
<a class=hint href=""#""
onclick=""this.style.display='none';
document.getElementById('hintb11dd61bbc52307c').style.display='block';
return false;"">
✚ Saiba mais</a>
<div id=""hintb11dd61bbc52307c"" class=hint style=""display: none""><div>ECO indisponível = Warfarin 3-4s.<br></div> </div>
</div></div>

</div><br>

<div class=direito>"
"<div class=afirmação>Fibrilação Atrial<i>&nbsp;- Passos para Cardioversão</i><div><i><br /></i></div><div><i>1)&nbsp;Se &gt;48h:&nbsp;</i><span class=""cloze"" data-cloze=""&lt;b&gt;V&#xEA;&#x20;se&#x20;tem&#x20;trombo&lt;&#x2F;b&gt;&#x20;no&#x20;ECO&#x20;&#x28;Warfarin&#x20;3&#x2D;4s&#x20;se&#x20;tiver&#x29;"" data-ordinal=""1"">[...]</span></div><div><br /></div><div><i>2)&nbsp;</i><b>Reversão</b>&nbsp;com&nbsp;<span class=""cloze"" data-cloze=""Amiodarona"" data-ordinal=""1"">[...]</span></div><div><br /></div><div><i>3)&nbsp;</i><b>Anticoagulação pós-reversão</b>&nbsp;<span class=""cloze"" data-cloze=""por&#x20;4s&#x20;ou&#x20;cr&#xF4;nica&#x20;&#x28;se&#x20;alto&#x20;risco&#x20;no&#x20;CHA&lt;sub&gt;2&lt;&#x2F;sub&gt;DS&lt;sub&gt;2&lt;&#x2F;sub&gt;VAS&#x29;"" data-ordinal=""1"">[...]</span></div> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Fibrilação Atrial<i>&nbsp;- Passos para Cardioversão</i><div><i><br /></i></div><div><i>1)&nbsp;Se &gt;48h:&nbsp;</i><span class=""cloze"" data-ordinal=""1""><b>Vê se tem trombo</b> no ECO (Warfarin 3-4s se tiver)</span></div><div><br /></div><div><i>2)&nbsp;</i><b>Reversão</b>&nbsp;com&nbsp;<span class=""cloze"" data-ordinal=""1"">Amiodarona</span></div><div><br /></div><div><i>3)&nbsp;</i><b>Anticoagulação pós-reversão</b>&nbsp;<span class=""cloze"" data-ordinal=""1"">por 4s ou crônica (se alto risco no CHA<sub>2</sub>DS<sub>2</sub>VAS)</span></div> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>Fibrilação Atrial - Controle da frequência tem como FC meta <span class=""cloze"" data-cloze=""&amp;lt&#x3B;110bpm"" data-ordinal=""1"">[...]</span> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Fibrilação Atrial - Controle da frequência tem como FC meta <span class=""cloze"" data-ordinal=""1"">&lt;110bpm</span> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>Fibrilação Atrial&nbsp;- Anticoagulação com <span class=""cloze"" data-cloze=""Warfarin&#x20;ou&#x20;Novos&#x20;anticoagulantes"" data-ordinal=""1"">[...]</span> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Fibrilação Atrial&nbsp;- Anticoagulação com <span class=""cloze"" data-ordinal=""1"">Warfarin ou Novos anticoagulantes</span> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>Fibrilação Atrial&nbsp;- Tratamento da FA recorrente é&nbsp;<span class=""cloze"" data-cloze=""Abla&#xE7;&#xE3;o&#x20;do&#x20;n&#xF3;&#x20;A&#x2D;V&#x20;&#x2B;&#x20;Marca&#x2D;passo"" data-ordinal=""1"">[...]</span> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Fibrilação Atrial&nbsp;- Tratamento da FA recorrente é&nbsp;<span class=""cloze"" data-ordinal=""1"">Ablação do nó A-V + Marca-passo</span> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>Taquicardia Supraventricular <i>Instável&nbsp;</i>- Tratamento&nbsp;= <span class=""cloze"" data-cloze=""Choque"" data-ordinal=""1"">[...]</span> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Taquicardia Supraventricular <i>Instável&nbsp;</i>- Tratamento&nbsp;= <span class=""cloze"" data-ordinal=""1"">Choque</span> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>Taquicardia Supraventricular&nbsp;<i>Estável&nbsp;</i>- Tratamento<div><br></div><div><span class=""cloze"" data-cloze=""Manobra&#x20;vagal&#x20;→&#x20;Adenosina&#x20;S&#x2F;N"" data-ordinal=""1"">[...]</span></div> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Taquicardia Supraventricular&nbsp;<i>Estável&nbsp;</i>- Tratamento<div><br></div><div><span class=""cloze"" data-ordinal=""1"">Manobra vagal → Adenosina S/N</span></div> </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação><span class=""cloze-inactive"" data-ordinal=""2"">Taquicardia Supraventricular</span><i>&nbsp;</i>- Manobra Vagal reverte <span class=""cloze"" data-cloze=""50"" data-ordinal=""1"">[...]</span>% <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> <span class=""cloze-inactive"" data-ordinal=""2"">Taquicardia Supraventricular</span><i>&nbsp;</i>- Manobra Vagal reverte <span class=""cloze"" data-ordinal=""1"">50</span>% </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação><span class=""cloze"" data-cloze=""Taquicardia&#x20;Supraventricular"" data-ordinal=""2"">[...]</span><i>&nbsp;</i>- Manobra Vagal reverte <span class=""cloze-inactive"" data-ordinal=""1"">50</span>% <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> <span class=""cloze"" data-ordinal=""2"">Taquicardia Supraventricular</span><i>&nbsp;</i>- Manobra Vagal reverte <span class=""cloze-inactive"" data-ordinal=""1"">50</span>% </div>



</div>

</div><br>

<div class=direito>"
"<div class=afirmação>Taquicardia Supraventricular&nbsp;<i>Recorrente&nbsp;</i>- Tratamento = <span class=""cloze"" data-cloze=""Cura&#x20;com&#x20;Abla&#xE7;&#xE3;o"" data-ordinal=""1"">[...]</span> <br>


</div>

<!--<div class=tags>

TAGS: @minhavaga_residencia

</div>-->







"	"<div class=afirmação> Taquicardia Supraventricular&nbsp;<i>Recorrente&nbsp;</i>- Tratamento = <span class=""cloze"" data-ordinal=""1"">Cura com Ablação</span> </div>



</div>

</div><br>

<div class=direito>"
