"<div class=afirmação>Fibrilação Ventricular - Características de QRS caótico no ECG <br></div>"	"<div class=afirmação>Fibrilação Ventricular apresenta um traçado caótico sem QRS definidos</div><div class=\"esquema\"><a class=hint href=\"#\" onclick=\"this.style.display='none';document.getElementById('hintNewId151').style.display='block';return false;\">✚ Informações adicionais</a><div id=\"hintNewId151\" class=hint style=\"display: none\"><div>O ECG de fibrilação ventricular mostra um padrão irregular e caótico, necessitando intervenção imediata.</div></div></div>"
"<div class=afirmação>Fibrilação Atrial - Risco de AVC aumenta se não houver anticoagulação adequada <br></div>"	"<div class=afirmação>Fibrilação Atrial - Risco de AVC aumenta se não houver anticoagulação adequada</div><div class=\"esquema\"><a class=hint href=\"#\" onclick=\"this.style.display='none';document.getElementById('hintNewId210').style.display='block';return false;\">✚ Informações adicionais</a><div id=\"hintNewId210\" class=hint style=\"display: none\"><div>A ausência de anticoagulação aumenta o risco de trombose e AVC em fibrilação atrial.</div></div></div>"
"<div class=afirmação>Ablação - Indicação para arritmias refratárias <br></div>"	"<div class=afirmação>Ablação - Utilizada para eliminar circuitos arrítmicos em taquicardias refratárias</div><div class=\"esquema\"><a class=hint href=\"#\" onclick=\"this.style.display='none';document.getElementById('hintNewId211').style.display='block';return false;\">✚ Informações adicionais</a><div id=\"hintNewId211\" class=hint style=\"display: none\"><div>A ablação é indicada quando o paciente não responde à terapia medicamentosa.</div></div></div>"
"<div class=afirmação>Cardioversão - Procedimento realizado com sedação e monitoramento contínuo <br></div>"	"<div class=afirmação>Cardioversão - Realizada com sedação e monitoramento contínuo</div><div class=\"esquema\"><a class=hint href=\"#\" onclick=\"this.style.display='none';document.getElementById('hintNewId212').style.display='block';return false;\">✚ Informações adicionais</a><div id=\"hintNewId212\" class=hint style=\"display: none\"><div>O procedimento visa restaurar o ritmo sinusal de forma segura.</div></div></div>"
"<div class=afirmação>RCP - Deve ser iniciada imediatamente em casos de PCR <br></div>"	"<div class=afirmação>RCP - Deve ser iniciada imediatamente em casos de PCR</div><div class=\"esquema\"><a class=hint href=\"#\" onclick=\"this.style.display='none';document.getElementById('hintNewId213').style.display='block';return false;\">✚ Informações adicionais</a><div id=\"hintNewId213\" class=hint style=\"display: none\"><div>A intervenção precoce com RCP é crucial para aumentar a sobrevida.</div></div></div>"
"<div class=afirmação>Desfibrilação - Chave para reverter a fibrilação ventricular <br></div>"	"<div class=afirmação>Desfibrilação - Uso de choque elétrico para interromper a fibrilação ventricular</div><div class=\"esquema\"><a class=hint href=\"#\" onclick=\"this.style.display='none';document.getElementById('hintNewId214').style.display='block';return false;\">✚ Informações adicionais</a><div id=\"hintNewId214\" class=hint style=\"display: none\"><div>O choque elétrico interrompe a atividade caótica, permitindo a retomada do ritmo normal.</div></div></div>"
"<div class=afirmação>Anticoagulação na fibrilação atrial tem como objetivo&nbsp;<span class=""cloze"" data-cloze=""prevenir eventos tromboembólicos"" data-ordinal=""1"">[...]</span> <br></div>"	"<div class=afirmação>Anticoagulação na fibrilação atrial tem como objetivo&nbsp;<span class=""cloze"" data-ordinal=""1"">prevenir eventos tromboembólicos</span> </div><div class=\"esquema\"><a class=hint href=\"#\" onclick=\"this.style.display='none';document.getElementById('hintNewId215').style.display='block';return false;\">✚ Informações adicionais</a><div id=\"hintNewId215\" class=hint style=\"display: none\"><div>A terapia anticoagulante reduz o risco de AVC em pacientes com fibrilação atrial.</div></div></div>"
"<div class=afirmação>Controle de Frequência vs Controle de Ritmo na fibrilação atrial&nbsp;<span class=""cloze"" data-cloze=""é individualizado conforme o perfil clínico"" data-ordinal=""1"">[...]</span> <br></div>"	"<div class=afirmação>Controle de Frequência vs Controle de Ritmo na fibrilação atrial: <span class=""cloze"" data-ordinal=""1"">é individualizado conforme o perfil clínico</span> </div><div class=\"esquema\"><a class=hint href=\"#\" onclick=\"this.style.display='none';document.getElementById('hintNewId216').style.display='block';return false;\">✚ Informações adicionais</a><div id=\"hintNewId216\" class=hint style=\"display: none\"><div>A decisão depende dos sintomas, idade e comorbidades.</div></div></div>"
"<div class=afirmação>Arritmias Ventriculares - Monitoramento contínuo é essencial para detectar arritmias potencialmente fatais <br></div>"	"<div class=afirmação>Arritmias Ventriculares - Monitoramento contínuo é essencial para detectar arritmias potencialmente fatais</div><div class=\"esquema\"><a class=hint href=\"#\" onclick=\"this.style.display='none';document.getElementById('hintNewId217').style.display='block';return false;\">✚ Informações adicionais</a><div id=\"hintNewId217\" class=hint style=\"display: none\"><div>O monitoramento permite a detecção precoce de alterações arrítmicas graves.</div></div></div>"
"<div class=afirmação>Eletrocardiograma - A interpretação dos intervalos PR, QRS e QT é essencial para o diagnóstico clínico <br></div>"	"<div class=afirmação>Eletrocardiograma - A interpretação dos intervalos PR, QRS e QT é essencial para o diagnóstico clínico</div><div class=\"esquema\"><a class=hint href=\"#\" onclick=\"this.style.display='none';document.getElementById('hintNewId218').style.display='block';return false;\">✚ Informações adicionais</a><div id=\"hintNewId218\" class=hint style=\"display: none\"><div>A análise detalhada do ECG fornece informações sobre a função elétrica do coração.</div></div></div>"
"<div class=afirmação>Isquemia Subendocárdica é sugerida por&nbsp;<span class=""cloze"" data-cloze=""depressão do ST e inversão da onda T"" data-ordinal=""1"">[...]</span> <br></div>"	"<div class=afirmação>Isquemia Subendocárdica é sugerida por&nbsp;<span class=""cloze"" data-ordinal=""1"">depressão do ST e inversão da onda T</span> </div><div class=\"esquema\"><a class=hint href=\"#\" onclick=\"this.style.display='none';document.getElementById('hintNewId219').style.display='block';return false;\">✚ Informações adicionais</a><div id=\"hintNewId219\" class=hint style=\"display: none\"><div>Esses achados indicam comprometimento da perfusão miocárdica.</div></div></div>"
"<div class=afirmação>Isquemia Transmural difere da subendocárdica: <span class=""cloze"" data-cloze=""elevação do ST vs depressão do ST"" data-ordinal=""1"">[...]</span> <br></div>"	"<div class=afirmação>Isquemia Transmural difere da subendocárdica: <span class=""cloze"" data-ordinal=""1"">elevação do ST vs depressão do ST</span> </div><div class=\"esquema\"><a class=hint href=\"#\" onclick=\"this.style.display='none';document.getElementById('hintNewId220').style.display='block';return false;\">✚ Informações adicionais</a><div id=\"hintNewId220\" class=hint style=\"display: none\"><div>Elevação do ST caracteriza isquemia transmural, enquanto depressão do ST indica isquemia subendocárdica.</div></div></div>"
"<div class=afirmação>ECG em Pericardite Crônica pode apresentar&nbsp;<span class=""cloze"" data-cloze=""baixa voltagem e alterações inespecíficas"" data-ordinal=""1"">[...]</span> <br></div>"	"<div class=afirmação>ECG em Pericardite Crônica pode apresentar&nbsp;<span class=""cloze"" data-ordinal=""1"">baixa voltagem e alterações inespecíficas</span> </div><div class=\"esquema\"><a class=hint href=\"#\" onclick=\"this.style.display='none';document.getElementById('hintNewId221').style.display='block';return false;\">✚ Informações adicionais</a><div id=\"hintNewId221\" class=hint style=\"display: none\"><div>Esses achados refletem um pericárdio espessado ou com derrame, interferindo na transmissão do sinal.</div></div></div>"
"<div class=afirmação>Alterações Eletrolíticas no ECG: <span class=""cloze"" data-cloze=""hipercalemia (ondas T picadas) e hipocalemia (prolongamento do QT)"" data-ordinal=""1"">[...]</span> <br></div>"	"<div class=afirmação>Alterações Eletrolíticas no ECG: <span class=""cloze"" data-ordinal=""1"">hipercalemia (ondas T picadas) e hipocalemia (prolongamento do QT)</span> </div><div class=\"esquema\"><a class=hint href=\"#\" onclick=\"this.style.display='none';document.getElementById('hintNewId222').style.display='block';return false;\">✚ Informações adicionais</a><div id=\"hintNewId222\" class=hint style=\"display: none\"><div>A identificação dessas alterações auxilia no manejo dos desequilíbrios eletrolíticos.</div></div></div>"
"<div class=afirmação>Bradicardia Sinusal é definida por&nbsp;<span class=""cloze"" data-cloze=""frequência inferior a 60 bpm"" data-ordinal=""1"">[...]</span> <br></div>"	"<div class=afirmação>Bradicardia Sinusal é definida por&nbsp;<span class=""cloze"" data-ordinal=""1"">frequência inferior a 60 bpm</span> </div><div class=\"esquema\"><a class=hint href=\"#\" onclick=\"this.style.display='none';document.getElementById('hintNewId223').style.display='block';return false;\">✚ Informações adicionais</a><div id=\"hintNewId223\" class=hint style=\"display: none\"><div>Essa condição pode ser fisiológica em atletas ou indicar disfunção do nó sinusal em outros casos.</div></div></div>"
"<div class=afirmação>Taquicardia Sinusal é caracterizada por&nbsp;<span class=""cloze"" data-cloze=""frequência superior a 100 bpm com ritmo sinusal"" data-ordinal=""1"">[...]</span> <br></div>"	"<div class=afirmação>Taquicardia Sinusal é caracterizada por&nbsp;<span class=""cloze"" data-ordinal=""1"">frequência superior a 100 bpm com ritmo sinusal</span> </div><div class=\"esquema\"><a class=hint href=\"#\" onclick=\"this.style.display='none';document.getElementById('hintNewId224').style.display='block';return false;\">✚ Informações adicionais</a><div id=\"hintNewId224\" class=hint style=\"display: none\"><div>Esta resposta fisiológica ocorre em situações de estresse, sem indicar patologia do nó sinusal.</div></div></div>"
"<div class=afirmação>Padrão de Excitação Ventricular normal é evidenciado por&nbsp;<span class=""cloze"" data-cloze=""sequência regular do QRS"" data-ordinal=""1"">[...]</span> <br></div>"	"<div class=afirmação>Padrão de Excitação Ventricular normal é evidenciado por&nbsp;<span class=""cloze"" data-ordinal=""1"">sequência regular do QRS</span> </div><div class=\"esquema\"><a class=hint href=\"#\" onclick=\"this.style.display='none';document.getElementById('hintNewId225').style.display='block';return false;\">✚ Informações adicionais</a><div id=\"hintNewId225\" class=hint style=\"display: none\"><div>Um ECG normal reflete a ativação ordenada do miocárdio, sem bloqueios ou desvios significativos.</div></div></div>"
"<div class=afirmação>Síndrome do QT Longo aumenta o risco de&nbsp;<span class=""cloze"" data-cloze=""Torsades des Pointes e morte súbita"" data-ordinal=""1"">[...]</span> <br></div>"	"<div class=afirmação>Síndrome do QT Longo aumenta o risco de&nbsp;<span class=""cloze"" data-ordinal=""1"">Torsades des Pointes e morte súbita</span> </div><div class=\"esquema\"><a class=hint href=\"#\" onclick=\"this.style.display='none';document.getElementById('hintNewId226').style.display='block';return false;\">✚ Informações adicionais</a><div id=\"hintNewId226\" class=hint style=\"display: none\"><div>O prolongamento do QT é um fator de risco importante para arritmias fatais.</div></div></div>"
"<div class=afirmação>ECG - Revisão Geral dos Achados <br></div>"	"<div class=afirmação>Integração de todos os achados do ECG para um diagnóstico completo</div><div class=\"esquema\"><a class=hint href=\"#\" onclick=\"this.style.display='none';document.getElementById('hintNewId227').style.display='block';return false;\">✚ Informações adicionais</a><div id=\"hintNewId227\" class=hint style=\"display: none\"><div>A revisão geral permite correlacionar os diversos padrões do ECG e orientar a conduta terapêutica.</div></div></div>"
